Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Group Membership,E-mail 1 - Type,E-mail 1 - Value,E-mail 2 - Type,E-mail 2 - Value,E-mail 3 - Type,E-mail 3 - Value,IM 1 - Type,IM 1 - Service,IM 1 - Value,Phone 1 - Type,Phone 1 - Value,Website 1 - Type,Website 1 - Value,Website 2 - Type,Website 2 - Value
Amazon DE,,,Amazon DE,,,,,,,,,,,,,,,,,,,,,,,Logos,,promotion5@amazon.de ::: customer-reviews-messages@amazon.de ::: bestellbestaetigung@amazon.de ::: vfe-campaign-response@amazon.de ::: marketplace-messages@amazon.de ::: versandbestaetigung@amazon.de ::: auto-communication@amazon.de ::: bestellung-aktuell@amazon.de ::: associates-autoresponse@amazon.de ::: do-not-reply@amazon.de ::: haendler-benachrichtigungen@amazon.de ::: partner-abrechnung@amazon.de ::: seller-notification@amazon.de ::: amazon-sepa-conversion-failure-de@amazon.com ::: answers@amazon.com ::: store_news@amazon.com ::: verkaeufer-informationen@amazon.de,* ,digital-no-reply@amazon.de,,,,,,,,,,,
BMW,,,BMW,,,,,,,,,,,,,,,,,,,,,,,Logos,,bmw-probefahrt@active-tourer-erleben.de ::: service@bmw-dialog.de ::: bmw-berlin-erleben@ereignisbuero.com ::: service@bmwdialog.de ::: diana.trillhaase@interessentenbetreuung.bmw.de ::: kundenbetreuung@bmw.de,* ,nl.berlin@bmw.de,,,,,,,,,,,
Brille24,,,Brille24,,,,,,,,,,,,,,,,,,,,,,,Logos,,info@newsletter.brille24.de,* Home,kundenservice@brille24.de,,,,,,,,Profile,http://www.google.com/profiles/111296120518578593157,,
BVG,,,BVG,,,,,,,,,,,,,,,,,,,,,,,Logos,,noreply@bvg.de,* ,unterwegs@bvg.de,,,,,,,,,,,
car2go,,,car2go,,,,,,,,,,,,,,,,,,,,,,,Logos,,kundenservice@newsletter.car2go.com ::: berlin@car2go.com,* ,kundenservice@info.car2go.com,Home,kundenservice@car2go.com,,,,,,Profile,http://www.google.com/profiles/111127051048687821797,,
car2go black,,,car2go black,,,,,,,,,,,,,,,,,,,,,,,Logos,,black@car2go.com,* ,black@newsletter.car2go.com,,,,,,,,,,,
codewars,,,codewars,,,,,,,,,,,,,,,,,,,,,,,Logos,* ,info@codewars.com,,,,,,,,,,,,,
congstar,,,congstar,,,,,,,,,,,,,,,,,,,,,,,Logos,,kundenservice@congstar.de ::: noreply@congstar-forum.de ::: noreply@congstarmail.de,* ,no-reply@congstarmail.de,,,,,,,,,,,
Deutsche Post / DHL,,,Deutsche Post / DHL,,,,,,,,,,,,,,,,,,,,,,,Logos,,noreply@deutschepost.de,* ,paket@dhl.de,,,,,,,,,,,
DKB,,,DKB,,,,,,,,,,,,,,,,,,,,,,,Logos,,marketing@dkb.ag ::: dkb-club@dkb.de,* ,aktion@dkb.ag,,,,,,,,,,,
